yeduc,p105,birthyr,birthprov,p509kab,weight,p607,classwk,wage,birthpl,lhwage,lwage,p504th,resid,n_inpres_schools,high_inpres,child_pop_71,en71,wsppc,dens71,treat1b,treat2b,dum,moldyed,java,urban,year,age74,old,young,reallyold,pool_old_birthyr,yeduc_hat,yeduc_hat_single_IV,_yeduc_hat_single_IV_no_loo,yeduc_hat_single_IV_no_loo,yeduc_hat_no_loo,yeduc_hat_no_loo_check
3,2,1959,11,1,131,33,4,305000,1101,7.2164211,12.628067,59,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,15,1,0,0,0,10.084298,9.9408751,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
0,2,1962,11,1,131,33,4,300000,1101,7.3540425,12.611538,62,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.177816,9.9425802,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
3,2,1964,11,1,131,33,4,305000,1101,7.1642351,12.628067,64,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,64,7.0631027,0,0,1995,10,0,,0,1964,9.8581953,,,,9.845214257879205,9.845355056573148
17,1,1962,11,1,99,61,4,600000,1101,8.0897493,13.304685,62,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.154963,9.9372377,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
12,2,1971,11,1,131,51,4,150000,1101,6.640276,11.91839,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.862387,10.430154,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
15,2,1959,11,1,131,91,4,213300,1101,7.3876529,12.270455,59,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,15,1,0,0,0,10.082846,9.9384222,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
9,1,1963,11,1,132,62,4,200000,1101,6.4630694,12.206073,63,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,63,7.0631027,0,0,1995,11,0,,0,1963,9.5037413,,,,9.503044356277309,9.503221139393387
12,1,1969,11,1,132,91,4,112400,1101,6.632607,11.629819,69,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,69,7.0631027,0,0,1995,5,0,1,0,1969,10.384022,10.430123,10.43069088753915,10.430691,10.3856509792048,10.38583214560573
3,2,1960,11,1,12,11,4,150000,1101,6.6608953,11.91839,60,1172,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.084668,9.9414492,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
4,2,1953,11,1,131,51,4,140000,1101,6.5510802,11.849398,53,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,21,0,,1,0,10.084467,,,,10.08344198688924,10.08360943434158
6,2,1957,11,1,131,33,4,105000,1101,6.1864371,11.561716,57,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,17,1,0,0,0,10.084167,9.9406347,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
6,2,1961,11,1,131,33,4,300000,1101,7.1998916,12.611538,61,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,13,1,0,0,0,10.084253,9.940753,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
12,2,1955,11,1,131,12,4,342000,1101,7.8905358,12.742566,55,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,19,0,,1,0,10.083007,,,,10.08344198688924,10.08360943434158
6,2,1971,11,1,131,15,4,150000,1101,7.0663605,11.91839,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.864888,10.43189,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
12,1,1952,11,1,101,91,4,315000,1101,7.5363641,12.660328,52,1106,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,22,0,,1,0,10.083025,,,,10.08344198688924,10.08360943434158
17,1,1958,11,1,99,93,4,274000,1101,7.5792408,12.520884,58,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,16,1,0,0,0,10.082323,9.9375801,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
12,1,1971,11,1,99,95,4,200000,1101,6.7944264,12.206073,71,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.862387,10.430154,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
8,2,1963,11,1,131,33,4,150000,1101,6.5808525,11.91839,63,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,63,7.0631027,0,0,1995,11,0,,0,1963,9.5044432,,,,9.503044356277309,9.503221139393387
12,2,1964,11,1,131,91,4,155200,1101,6.8526034,11.95247,64,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,64,7.0631027,0,0,1995,10,0,,0,1964,9.8415833,,,,9.845214257879205,9.845355056573148
6,1,1965,11,1,132,71,4,130000,1101,7.3932629,11.77529,65,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,65,7.0631027,0,0,1995,9,0,,0,1965,10.241379,,,,10.23792203934064,10.2380927180182
15,1,1964,11,1,99,61,4,150000,1101,7.2362595,11.91839,64,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,64,7.0631027,0,0,1995,10,0,,0,1964,9.8360462,,,,9.845214257879205,9.845355056573148
12,1,1963,11,1,132,93,4,112000,1101,6.5510802,11.626254,63,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,63,7.0631027,0,0,1995,11,0,,0,1963,9.5016365,,,,9.503044356277309,9.503221139393387
9,1,1956,11,1,132,93,4,250000,1101,7.0726299,12.429216,56,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,18,0,,1,0,10.083571,,,,10.08344198688924,10.08360943434158
9,1,1957,11,1,132,71,4,250000,1101,7.7107172,12.429216,57,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,17,1,0,0,0,10.083568,9.9396467,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
